cod_ibge,cod_mun6,nome_mun,ano,pop,casos
3519402,351940,Ibirá,2014,11167,6
3519501,351950,Ibirarema,2014,6663,4
3519600,351960,Ibitinga,2014,55531,25
3519709,351970,Ibiúna,2014,72907,14
3519808,351980,Icém,2014,7633,6
3519907,351990,Iepê,2014,7647,4
3520004,352000,Igaraçu do Tietê,2014,23389,15
3520103,352010,Igarapava,2014,27484,18
3520202,352020,Igaratá,2014,9476,5
3520301,352030,Iguape,2014,29090,8
3520400,352040,Ilhabela,2014,30369,3830
3520426,352042,Ilha Comprida,2014,10507,23
3520442,352044,Ilha Solteira,2014,25413,334
3520509,352050,Indaiatuba,2014,219338,321
3520608,352060,Indiana,2014,4947,0
3520707,352070,Indiaporã,2014,3974,7
3520806,352080,Inúbia Paulista,2014,3655,0
3520905,352090,Ipaussu,2014,13720,2
3521002,352100,Iperó,2014,31018,413
3521101,352110,Ipeúna,2014,6348,11
3521150,352115,Ipiguá,2014,5204,3
3521200,352120,Iporanga,2014,4230,0
3521309,352130,Ipuã,2014,14311,17
3521408,352140,Iracemápolis,2014,20682,32
3521507,352150,Irapuã,2014,7181,2
3521606,352160,Irapuru,2014,7614,46
3521705,352170,Itaberá,2014,17949,0
3521804,352180,Itaí,2014,24508,0
3521903,352190,Itajobi,2014,15396,8
3522000,352200,Itaju,2014,3358,7
3522109,352210,Itanhaém,2014,96065,170
3522158,352215,Itaoca,2014,3295,0
3522208,352220,Itapecerica da Serra,2014,155737,165
3522307,352230,Itapetininga,2014,149202,15
3522406,352240,Itapeva,2014,88852,6
3522505,352250,Itapevi,2014,211605,625
3522604,352260,Itapira,2014,69922,731
3522653,352265,Itapirapuã Paulista,2014,3995,0
3522703,352270,Itápolis,2014,40091,183
3522802,352280,Itaporanga,2014,14529,106
3522901,352290,Itapuí,2014,12686,135
3523008,352300,Itapura,2014,4254,26
3523107,352310,Itaquaquecetuba,2014,337879,212
3523206,352320,Itararé,2014,47142,28
3523305,352330,Itariri,2014,15553,6
3523404,352340,Itatiba,2014,108506,92
3523503,352350,Itatinga,2014,18539,1
3523602,352360,Itirapina,2014,15763,33
3523701,352370,Itirapuã,2014,5897,0
3523800,352380,Itobi,2014,7703,272
3523909,352390,Itu,2014,159567,179
3524006,352400,Itupeva,2014,53364,59
3524105,352410,Ituverava,2014,38456,14
3524204,352420,Jaborandi,2014,6537,2
3524303,352430,Jaboticabal,2014,72041,68
3524402,352440,Jacareí,2014,222128,240
3524501,352450,Jaci,2014,6287,33
3524600,352460,Jacupiranga,2014,16875,4
3524709,352470,Jaguariúna,2014,49154,141
3524808,352480,Jales,2014,47844,485
3524907,352490,Jambeiro,2014,5700,3
3525003,352500,Jandira,2014,111859,559
3525102,352510,Jardinópolis,2014,40119,1259
3525201,352520,Jarinu,2014,28380,14
3525300,352530,Jaú,2014,132292,4450
3525409,352540,Jeriquara,2014,3399,3
3525508,352550,Joanópolis,2014,12144,3
3525607,352560,João Ramalho,2014,4236,5
3525706,352570,José Bonifácio,2014,34117,213
3525805,352580,Júlio Mesquita,2014,4398,1
3525854,352585,Jumirim,2014,2892,1
3525904,352590,Jundiaí,2014,394155,516
3526001,352600,Junqueirópolis,2014,19379,136
3526100,352610,Juquiá,2014,18677,15
3526209,352620,Juquitiba,2014,28408,8
3526308,352630,Lagoinha,2014,4910,12
3526407,352640,Laranjal Paulista,2014,25592,46
3526506,352650,Lavínia,2014,9075,18
3526605,352660,Lavrinhas,2014,6822,20
3526704,352670,Leme,2014,94371,30
3526803,352680,Lençóis Paulista,2014,63338,27
3526902,352690,Limeira,2014,282054,711
3527009,352700,Lindóia,2014,6843,2
3527108,352710,Lins,2014,72858,219
3527207,352720,Lorena,2014,83544,122
3527256,352725,Lourdes,2014,2084,39
3527306,352730,Louveira,2014,41780,83
3527405,352740,Lucélia,2014,20071,27
3527504,352750,Lucianópolis,2014,2283,0
3527603,352760,Luís Antônio,2014,11646,28
3527702,352770,Luiziânia,2014,4936,16
3527801,352780,Lupércio,2014,4249,3
3527900,352790,Lutécia,2014,2728,0
3528007,352800,Macatuba,2014,16578,21
3528106,352810,Macaubal,2014,7595,16
3528205,352820,Macedônia,2014,3777,9
3528304,352830,Magda,2014,3232,11
